Rank,Girl Name,Boy Name
1,Olivia,Liam
2,Charlotte,Noah
3,Emma,Oliver
4,Amelia,Theodore
5,Sophia,Henry
6,Mia,James
7,Isabella,Elijah
8,Evelyn,Mateo
9,Sofia,William
10,Eliana,Lucas
11,Ava,Benjamin
12,Eleanor,Levi
13,Violet,Elias
14,Ailany,Luca
15,Aurora,Jack
16,Harper,Sebastian
17,Elizabeth,Hudson
18,Lily,Samuel
19,Camila,Leo
20,Nora,Ezra
21,Hazel,Michael
22,Penelope,Daniel
23,Chloe,John
24,Ellie,Ethan
25,Lucy,Julian
26,Aria,Santiago
27,Luna,Cooper
28,Isla,Asher
29,Ella,Joseph
30,Lainey,Alexander
31,Zoe,Owen
32,Scarlett,Matthew
33,Gianna,Luke
34,Emily,Thomas
35,Valentina,David
36,Layla,Jackson
37,Avery,Gabriel
38,Grace,Wyatt
39,Ivy,Mason
40,Madison,Bennett
41,Abigail,Dylan
42,Elena,Roman
43,Mila,Jacob
44,Willow,Miles
45,Emilia,Carter
46,Nova,Anthony
47,Naomi,Isaac
48,Riley,Charles
49,Eloise,Maverick
50,Sadie,Thiago
51,Delilah,Grayson
52,Stella,Wesley
53,Josephine,Logan
54,Victoria,Josiah
55,Sophie,Weston
56,Hannah,Waylon
57,Lillian,Isaiah
58,Leah,Caleb
59,Adeline,Rowan
60,Leilani,Beau
61,Iris,Ezekiel
62,Maya,Aiden
63,Clara,Nathan
64,Ruby,Brooks
65,Alice,Nolan
66,Genesis,Joshua
67,Paisley,Angel
68,Claire,Christopher
69,Zoey,Lincoln
70,Eden,Jayden
71,Madelyn,Silas
72,Vivian,Enzo
73,Millie,Andrew
74,Emery,Adrian
75,Daisy,Atlas
76,Maeve,Cameron
77,Ayla,Everett
78,Liliana,Walker
79,Melody,Axel
80,Lyla,Aaron
81,Madeline,August
82,Josie,Theo
83,Lucia,Ian
84,Addison,Adriel
85,Kennedy,Luka
86,Audrey,Gael
87,Maria,Arthur
88,Autumn,Jeremiah
89,Natalie,Jonathan
90,Sarah,Micah
91,Everly,Leonardo
92,Lydia,Robert
93,Kinsley,Kai
94,Sienna,Emiliano
95,Jade,Jose
96,Caroline,Christian
97,Quinn,Eithan
98,Amara,Archer
99,Georgia,Ryan
100,Juniper,Myles
101,Aaliyah,Adam
102,Margot,Parker
103,Allison,Colton
104,Hailey,Eli
105,Gabriella,Amir
106,Parker,Dominic
107,Anna,Vincent
108,Cecilia,Xavier
109,Athena,Damian
110,Juliette,Easton
111,Catalina,River
112,Margaret,Nicholas
113,Cora,Austin
114,Rose,Jace
115,Eliza,Jaxon
116,Raelynn,Harrison
117,Alaia,Lorenzo
118,Brooklyn,Callum
119,Esther,Milo
120,Hallie,Graham
121,Hadley,Emmett
122,Emerson,Sawyer
123,Elsie,Giovanni
124,Magnolia,Carson
125,Mary,Dean
126,Scottie,George
127,Valerie,Landon
128,Ariana,Jonah
129,Serenity,Jasper
130,Alina,Hunter
131,Julia,Jordan
132,Amira,Calvin
133,Charlie,Ryder
134,Eva,Malachi
135,Savannah,Kayden
136,Bella,Stetson
137,Rylee,Jameson
138,Emersyn,Leon
139,Elliana,Declan
140,Alana,Nathaniel
141,Sloane,Beckett
142,Melanie,Zion
143,Brielle,Dawson
144,Natalia,Luis
145,Remi,Charlie
146,Aubrey,Matteo
147,Evangeline,Elian
148,Genevieve,Arlo
149,Kehlani,Greyson
150,June,Carlos
151,Samantha,Elliot
152,Summer,Bryson
153,Oaklynn,Evan
154,Ember,Emilio
155,Piper,Jude
156,Oakley,Jaxson
157,Phoebe,Colter
158,Arya,Diego
159,Wrenley,Juan
160,Sage,Elliott
161,Alani,Hayden
162,Valeria,Hayes
163,Anastasia,Ivan
164,Ashley,Ace
165,Nevaeh,Jason
166,Isabelle,Connor
167,Skylar,Jayce
168,Ailani,Beckham
169,Blair,Jett
170,Gemma,Matias
171,Rosalie,Barrett
172,Vivienne,Braxton
173,Ruth,Jesus
174,Ariella,Nico
175,Callie,Felix
176,Freya,Antonio
177,Isabel,Nicolas
178,Daphne,Judah
179,Lilah,Emmanuel
180,Amaya,Max
181,Sutton,Tucker
182,Annie,Cole
183,Ximena,Ryker
184,Adalynn,Jesse
185,Kaylani,Amari
186,Katherine,Aziel
187,Lila,Peter
188,Celeste,Rhett
189,Tatum,Maxwell
190,Haven,Callan
191,Blakely,Alan
192,Reese,Chase
193,Kaia,Legend
194,Everleigh,Tate
195,Alora,Alejandro
196,Molly,Knox
197,Olive,Ashton
198,Sara,Jaziel
199,Peyton,Rory
200,Lia,Andres
201,Mabel,Caden
202,Noelle,Tatum
203,Stevie,Timothy
204,Kylie,Kingston
205,Vera,Camden
206,Jasmine,Finn
207,Celine,Messiah
208,Adaline,Riley
209,Bailey,Abraham
210,Myla,Maddox
211,Aitana,Victor
212,Zara,Miguel
213,Arabella,Malakai
214,Lennon,Zayden
215,Dahlia,Bentley
216,Selah,Zachary
217,Saylor,Baker
218,Elianna,Rafael
219,Ada,Joel
220,River,Tyler
221,Jane,Kevin
222,Brianna,Griffin
223,Elise,Oscar
224,Alaina,Edward
225,Presley,Cohen
226,Noa,Kairo
227,Gracie,Callahan
228,Mackenzie,Grant
229,Kiara,Brayden
230,Rory,Simon
231,Wren,Abel
232,Palmer,Alex
233,Maisie,Justin
234,Arianna,Richard
235,Andrea,Patrick
236,Nyla,Brody
237,Alexandra,Kaiden
238,Cataleya,Dallas
239,Lucille,Muhammad
240,Camille,Warren
241,Collins,Adonis
242,Delaney,Milan
243,Brynlee,Ellis
244,Diana,Kyrie
245,Ana,Mark
246,Miriam,Shepherd
247,Amora,Ronan
248,Reagan,Cade
249,Rowan,Louis
250,Rachel,Lane
251,Rosemary,Harvey
252,Lilly,Walter
253,Kailani,Zayn
254,Faith,Emerson
255,Kaylee,Nash
256,Juliana,Crew
257,Amy,Ayden
258,Journee,Marcus
259,Leila,Xander
260,Adalyn,Omar
261,Mariana,Brandon
262,Norah,Paul
263,Aliyah,Ismael
264,Ophelia,Kayson
265,Talia,Bodhi
266,Aspen,Bowen
267,Elaina,Saint
268,Selena,Cyrus
269,Arleth,Koa
270,Evie,Karter
271,Nayeli,Steven
272,Khloe,Malcolm
273,Luciana,Eric
274,Juliet,Javier
275,Lola,Bodie
276,Harmony,Maximus
277,Lilith,Otto
278,Azalea,Shiloh
279,Lena,Benson
280,Alanna,Maximiliano
281,Shiloh,Atticus
282,Sylvie,Jensen
283,Rosie,Tobias
284,Antonella,Derek
285,Julieta,Colt
286,Meadow,Kash
287,Gia,Cash
288,Milani,Lukas
289,Adelaide,Lennox
290,Aurelia,Ares
291,Sawyer,Avery
292,Poppy,Jeremy
293,Aylani,Reid
294,Maggie,Kenneth
295,Blake,Kaleb
296,Dakota,Kohen
297,Leia,Holden
298,Esme,Sonny
299,Elowyn,Preston
300,Sylvia,Clayton
301,Evelynn,Archie
302,Daniela,Romeo
303,Kimberly,Gavin
304,Adelina,Angelo
305,Elaine,Luciano
306,Joanna,Ali
307,Francesca,Remington
308,Octavia,Dante
309,Harlow,Tristan
310,Elodie,Banks
311,Tessa,Colson
312,Morgan,Mathias
313,Brooke,Eliam
314,Catherine,Sullivan
315,Amina,Israel
316,Colette,Blake
317,Gabriela,Zyaire
318,Frances,Cody
319,Madisson,Dakota
320,Samara,Casey
321,Sabrina,Brady
322,Marley,Francisco
323,Kali,Jorge
324,Nina,Zane
325,Serena,Niko
326,Alessia,Aidan
327,Navy,Dariel
328,Kendall,Kaden
329,Zuri,Phoenix
330,Fatima,Josue
331,Viviana,Cruz
332,Alayna,Sutton
333,Lorelai,Finley
334,Hattie,Orion
335,Mira,Martin
336,Anaya,Bryan
337,Aisha,Gideon
338,Miley,Paxton
339,Emory,Brian
340,Heidi,Marshall
341,Teagan,Cairo
342,Leighton,Jax
343,Annabelle,Colin
344,Ryleigh,Wade
345,Aylin,Russell
346,Paige,Sterling
347,Angelina,Wells
348,Sydney,Ezequiel
349,Malia,Kade
350,Rebecca,Leonel
351,Maryam,Ibrahim
352,Hope,Damien
353,Thea,Santino
354,Elora,Hendrix
355,Adelyn,Joaquin
356,Ariel,Briggs
357,Kamila,Bryce
358,Wrenlee,Titus
359,Itzel,Franklin
360,Gwendolyn,Spencer
361,Camilla,Jaylen
362,Briella,Cristian
363,Helena,Anderson
364,Kayla,Kaizen
365,Matilda,Onyx
366,Adriana,Erick
367,Ariyah,Kyaire
368,Alaya,Andre
369,Raya,Miller
370,Adhara,Marco
371,Jordyn,Manuel
372,Mallory,Matthias
373,Esmeralda,Grady
374,Malani,Forrest
375,Anya,Kayce
376,Astrid,Desmond
377,Vanessa,Clark
378,Ivory,Hugo
379,Laura,Daxton
380,Amari,Ricardo
381,Demi,Lawson
382,Giselle,Winston
383,Nicole,Stephen
384,Blaire,Khalil
385,Kira,Cesar
386,Liana,Baylor
387,Kalani,Fernando
388,Londyn,Elio
389,Carmen,Kieran
390,Sunny,Iker
391,Florence,Kamari
392,Kaliyah,Jay
393,Jocelyn,Ari
394,Danna,Raphael
395,Regina,Raymond
396,Bonnie,Jared
397,Murphy,Zander
398,Julianna,Edwin
399,Melany,Marcelo
400,Briar,Kashton
401,Lauren,Kian
402,Logan,Kylo
403,Taylor,Bradley
404,Raven,Kyler
405,Carolina,King
